skillID,commonName,commonValue
0000257,y,u(x/2)
0000257,w,u(x/2)
0000258,maxLevel,6
0000258,incMobCollectionProp,5+5*x
0000258,cr,1+x+u(x/2)
0000259,maxLevel,6
0000259,incMobCollectionProp,5+5*x
0000259,cr,1+x+u(x/2)
0000260,maxLevel,6
0000260,incMobCollectionProp,5+5*x
0000260,cr,1+x+u(x/2)
0000261,maxLevel,6
0000261,time,10
0000261,indieDamR,3*x
0000261,cooltime,20
0000262,maxLevel,6
0000262,time,10
0000262,indieDamR,3*x
0000262,cooltime,20
0000263,maxLevel,6
0000263,time,10
0000263,indieDamR,3*x
0000263,cooltime,20
0000264,maxLevel,6
0000264,strX,10+10*x
0000264,dexX,10+10*x
0000264,intX,10+10*x
0000264,lukX,10+10*x
0000264,mhpX,175+175*x
0000264,mmpX,175+175*x
0000264,damAbsorbShieldR,3+2*x
0000264,cooltime,5
0000265,maxLevel,6
0000265,strX,10+10*x
0000265,dexX,10+10*x
0000265,intX,10+10*x
0000265,lukX,10+10*x
0000265,mhpX,175+175*x
0000265,mmpX,175+175*x
0000265,damAbsorbShieldR,3+2*x
0000265,cooltime,5
0000110,maxLevel,6
0000110,strX,10+10*x
0000110,dexX,10+10*x
0000110,intX,10+10*x
0000110,lukX,10+10*x
0000110,mhpX,175+175*x
0000110,mmpX,175+175*x
0000110,damAbsorbShieldR,3+2*x
0000110,cooltime,5
0001281,maxLevel,1
0001281,x,002000100
0001281,cooltime,600
0001282,maxLevel,1
0001282,x,103050000
0001282,cooltime,600
0001283,maxLevel,1
0001283,x,120000000
0001283,cooltime,600
0001297,maxLevel,1
0001297,x,100051000
0001297,cooltime,600
1001005,mpCon,3+d(x/6)
1001005,damage,175+8*x
1001005,mobCount,6
1001005,attackCount,1
1001005,maxLevel,20
1001008,mpCon,15-2*d(x/2)
1001008,maxLevel,10
1001008,x,350+30*x
1001008,y,260+20*x
1001010,maxLevel,1
1001010,damage,89+x
1001010,attackCount,2
1001010,mobCount,4
1001010,v,45
1001010,range,215
1001010,mpCon,5
1001010,attackDelay,510
1000003,maxLevel,20
1000003,damAbsorbShieldR,u(x/2)
1000003,pddX,10*x
1000003,mhpR,x
1000009,maxLevel,15
1000009,stanceProp,10+2*x
1000009,psdJump,2+u(x/2)
1000009,psdSpeed,2+u(x/2)
1000009,lv2mhp,5+x
1000009,speedMax,2+u(x/2)
1000007,maxLevel,1
1000007,x,400
1000007,PVPdamage,1
1101011,mpCon,10+d(x/3)
1101011,damage,220+3*x
1101011,mobCount,6
1101011,attackCount,2
1101011,ballDelay,0
1101011,ballDelay1,480
1101011,maxLevel,20
1101012,mpCon,11+d(x/3)
1101012,damage,113+3*x
1101012,time,u(x/4)
1101012,mobCount,8
1101012,attackCount,2
1101012,prop,44+4*x
1101012,maxLevel,9
1101012,y,0
1100012,mpCon,11+d(x/3)
1100012,damage,113+3*x
1100012,time,u(x/4)
1100012,mobCount,1
1100012,attackCount,2
1100012,maxLevel,9
1100012,y,0
1101013,x,5
1101013,prop,40
1101013,maxLevel,1
1101013,y,2
1101004,mpCon,31-1*x
1101004,time,20+18*x
1101004,x,-2
1101004,maxLevel,10
1101006,mpCon,4+8*u(x/10)
1101006,indiePad,10+x
1101006,time,80+6*x
1101006,indiePowerGuard,10+x
1101006,y,100+20*x
1101006,maxLevel,20
1100000,mastery,10+4*x
1100000,x,24*x
1100000,maxLevel,10
1100000,pdR,x
1100002,damage,100+5*d(x/2)
1100002,prop,2*x
1100002,maxLevel,20
1100009,strX,6*x
1100009,dexX,6*x
1100009,maxLevel,5
1111010,mpCon,14+u(x/4)
1111010,damage,198+3*x
1111010,attackCount,3
1111010,mobCount,6
1111010,maxLevel,20
1111012,maxLevel,10
1111012,mpCon,8+3*u(x/3)
1111012,damage,245+6*x
1111012,attackCount,1
1111012,mobCount,7+d(x/2)
1111003,maxLevel,20
1111003,mpCon,10+d(x/2)
1111003,damage,850+15*x
1111003,prop,40+3*x
1111003,x,10+u(x/2)
1111003,y,2
1111003,time,40+2*x
1111003,mobCount,6
1111003,attackCount,1
1111003,subTime,30-x
1111003,z,-10-x
1111003,w,10+x
1111008,mpCon,8+d(x/2)
1111008,damage,100+5*x
1111008,mobCount,6+d(x/5)
1111008,attackCount,6
1111008,maxLevel,20
1111008,hcCooltime,10
1111008,hcTime,1
1111008,hcProp,u(x/4)
1111008,cooltime,10
1111008,y,1
1111008,s,3
1111008,w,2
1111008,prop,100
1111008,time,6
1111015,mpCon,20
1111015,damage,299+x
1111015,mobCount,5
1111015,maxLevel,1
1111015,y,1200
1111015,maxUseCountInOneJump,1
1111015,z,90
1111015,icon,WzComparerR2.WzLib.Wz_Png
1111015,iconMouseOver,WzComparerR2.WzLib.Wz_Png
1111015,iconDisabled,WzComparerR2.WzLib.Wz_Png
1110013,prop,40+2*x
1110013,subProp,10+x
1110013,damR,u(x/4)
1110013,maxLevel,20
1110013,x,5
1110000,hp,150*x
1110000,mp,20*x
1110000,hcHp,4000*x
1110000,maxLevel,10
1110009,damage,105+2*x
1110009,maxLevel,10
1110009,x,5+2*x
1110009,cr,2*x
1110011,asrR,16+x
1110011,terR,16+x
1110011,maxLevel,14
1121008,mpCon,20+2*u(x/3)
1121008,damage,110+3*x
1121008,attackCount,7
1121008,mobCount,8
1121008,maxLevel,30
1121008,x,125+3*x
1121008,y,7
1121015,maxLevel,30
1121015,mpCon,30+2*d(x/8)
1121015,x,10+u(x/2)
1121015,u,u(x/3)
1121015,damage,366+7*x
1121015,mobCount,8
1121015,attackCount,4
1121015,y,1
1121015,dot,75+3*x
1121015,time,15+d(x/2)
1121015,prop,40+2*x
1121015,dotInterval,2
1121015,dotTime,15+d(x/2)
1121015,damPlus,100+2*x
1121016,mpCon,35-2*x
1121016,prop,20+8*x
1121016,time,6+4*u(x/3)
1121016,cooltime,60
1121016,mobCount,10
1121016,maxLevel,10
1120014,maxLevel,30
1120014,stanceProp,2*x
1121010,mpCon,80-x
1121010,x,10+d(x/2)
1121010,mobCount,1
1121010,time,21000000
1121010,maxLevel,30
1121010,y,10+d(x/3)
1121010,z,0
1121000,mpCon,10+10*d(x/5)
1121000,x,u(x/2)
1121000,time,30*x
1121000,maxLevel,30
1121011,mpCon,30
1121011,cooltime,660-60*x
1121011,time,1
1121011,maxLevel,5
1120003,damR,u(x/6)
1120003,x,5+d(x/6)
1120003,v,5+u(x/6)
1120003,prop,20+2*x
1120003,mastery,55+d(x/2)
1120003,maxLevel,30
1120012,ignoreMobpdpR,20+x
1120012,maxLevel,30
1120013,damage,110+2*x
1120013,prop,45+u(x/2)
1120013,ar,u(x/3)
1120013,padX,x
1120013,maxLevel,30
1120013,attackCount,3
1120017,mpCon,20+2*u(x/3)
1120017,damage,125+3*x
1120017,attackCount,7
1120017,mobCount,8
1120017,maxLevel,30
1120043,maxLevel,1
1120043,damR,2
1120044,maxLevel,1
1120044,prop,20
1120045,maxLevel,1
1120045,w,2
1120046,maxLevel,1
1120046,damR,10
1120047,maxLevel,1
1120047,padX,20
1120048,maxLevel,1
1120048,prop,15
1120049,maxLevel,1
1120049,damR,20
1120050,maxLevel,1
1120050,targetPlus,2
1120051,maxLevel,1
1120051,attackCount,1
1121052,maxLevel,1
1121052,mpCon,200
1121052,damage,500
1121052,attackCount,8
1121052,mobCount,10
1121052,cooltime,10
1121053,maxLevel,1
1121053,mpCon,100
1121053,time,60
1121053,cooltime,120
1121053,indieDamR,10
1121054,maxLevel,1
1121054,mpCon,300
1121054,x,100
1121054,y,100
1121054,time,30
1121054,cooltime,150
1121054,indieCr,30
1121054,w,8
1121054,z,167
1121054,u,9
1121054,indiePad,50
1201011,mpCon,10+x
1201011,damage,100+2*x
1201011,dot,55+x
1201011,mobCount,4
1201011,attackCount,3
1201011,prop,30+3*x
1201011,time,2+u(x/5)
1201011,dotInterval,1
1201011,dotTime,2+u(x/5)
1201011,z,120+x
1201011,maxLevel,20
1201012,mpCon,10+x
1201012,damage,100+2*x
1201012,attackCount,3
1201012,mobCount,4
1201012,prop,30+3*x
1201012,time,1+u(x/4)
1201012,x,-20
1201012,y,5+u(x/2)
1201012,z,105+u(x/2)
1201012,maxLevel,20
1200014,x,2
1200014,y,8
1200014,z,5
1200014,time,30
1200014,maxLevel,1
1200014,w,2
1200014,u,2
1201013,mpCon,11+x
1201013,damage,116+x
1201013,attackCount,2
1201013,mobCount,8
1201013,prop,35+5*x
1201013,time,1+u(x/4)
1201013,maxLevel,9
1201004,mpCon,31-2*x
1201004,time,20*x
1201004,x,-2
1201004,maxLevel,10
1200000,mastery,10+4*x
1200000,x,12*x
1200000,maxLevel,10
1200002,damage,60+x
1200002,prop,2*x
1200002,maxLevel,20
1200002,attackCount,2
1200009,maxLevel,5
1200009,strX,6*x
1200009,dexX,6*x
1211008,mpCon,20+5*u(x/7)
1211008,damage,190+3*x
1211008,y,5+u(x/2)
1211008,z,105+u(x/2)
1211008,dot,75+2*x
1211008,attackCount,3
1211008,mobCount,6
1211008,prop,10+4*x
1211008,time,2+u(x/5)
1211008,dotInterval,1
1211008,dotTime,2+u(x/5)
1211008,maxLevel,20
1211010,mpCon,20+4*u(x/2)
1211010,x,20+3*x
1211010,y,10
1211010,z,10
1211010,time,25-x
1211010,maxLevel,10
1211012,mpCon,8+3*u(x/3)
1211012,damage,245+6*x
1211012,attackCount,1
1211012,mobCount,7+d(x/2)
1211012,maxLevel,10
1211013,mpCon,12+3*u(x/5)
1211013,time,40+2*x
1211013,x,-10-1*x
1211013,y,-10-1*x
1211013,mobCount,6
1211013,z,10+x
1211013,subTime,3+u(x/4)
1211013,prop,15+3*x
1211013,maxLevel,20
1211013,w,10+1*x
1211017,mpCon,20
1211017,damage,299+x
1211017,mobCount,5
1211017,maxLevel,1
1211017,y,1200
1211017,maxUseCountInOneJump,1
1211017,z,90
1211014,maxLevel,10
1211014,mpCon,22+2*u(x/2)
1211014,x,10+x
1211014,y,10+x
1211014,z,-10-x
1211014,indiePddR,-10-x
1211014,indiePad,2*x
1211011,mpCon,20+4*u(x/5)
1211011,x,u(x/19)
1211011,damPlus,30+4*x
1211011,time,80+6*x
1211011,maxLevel,20
1210001,x,100+15*x
1210001,y,x
1210001,prop,4*x
1210001,subProp,6*x
1210001,time,1+u(x/4)
1210001,asrR,10+3*x
1210001,terR,10+3*x
1210001,maxLevel,10
1210015,x,840-10*x
1210015,t,16+x
1210015,y,16+x
1210015,maxLevel,14
1210016,prop,5*x
1210016,epad,2*x
1210016,x,x
1210016,y,5+2*x
1210016,time,90
1210016,cooltime,30
1210016,maxLevel,10
1210016,s,1
1221009,mpCon,14+u(x/3)
1221009,damage,195+3*x
1221009,attackCount,9
1221009,mobCount,1
1221009,time,0
1221009,prop,0
1221009,x,1
1221009,maxLevel,30
1221004,mpCon,20+5*u(x/7)
1221004,damage,334+4*x
1221004,y,5+u(x/2)
1221004,z,105+u(x/2)
1221004,mad,40
1221004,prop,10+3*x
1221004,time,5+d(x/6)
1221004,mobCount,6
1221004,attackCount,3
1221004,x,1
1221004,hcSubTime,u(x/10)
1221004,hcProp,x
1221004,maxLevel,30
1221014,mpCon,35-2*x
1221014,prop,20+8*x
1221014,time,6+4*u(x/3)
1221014,cooltime,60
1221014,mobCount,10
1221014,maxLevel,10
1221014,hcTime,1+2*u(x/5)
1221014,hcProp,6*x
1221011,mpCon,30+x
1221011,damage,420+5*x
1221011,mobCount,15
1221011,cooltime,30-d(x/2)
1221011,attackCount,8
1221011,damageToBoss,420+5*x
1221011,maxLevel,30
1221011,bdR,30
1221015,maxLevel,30
1221015,mpCon,20+2*d(x/6)
1221015,indiePMdR,5+d(x/2)
1221015,time,110+3*x
1221015,x,0
1221015,damPlus,84+4*x
1220017,maxLevel,30
1220017,stanceProp,2*x
1221000,mpCon,10+10*d(x/5)
1221000,x,u(x/2)
1221000,time,30*x
1221000,maxLevel,30
1221012,mpCon,30
1221012,cooltime,660-60*x
1221012,time,1
1221012,maxLevel,5
1221016,mpCon,150-5*x
1221016,time,5+d(x/4)
1221016,cooltime,1000-40*d(x/2)
1221016,maxLevel,20
1220018,maxLevel,30
1220018,mastery,55+u(x/2)
1220018,criticaldamage,5+d(x/3)
1220018,pddX,100+10*x
1220018,mddX,100+10*x
1220018,pdR,10+x
1220018,cr,10+x
1220018,ignoreMobpdpR,15+u(x/2)
1220010,prop,0
1220010,targetPlus,u(x/5)
1220010,attackCount,u(x/9)
1220010,time,30
1220010,maxLevel,10
1220010,x,5
1220010,y,12
1220010,z,5
1220010,w,2
1220010,u,2
1220043,maxLevel,1
1220043,time,20
1220044,maxLevel,1
1220044,prop,25
1220045,maxLevel,1
1220045,x,-20
1220045,y,20
1220046,maxLevel,1
1220046,damR,20
1220047,maxLevel,1
1220047,cr,20
1220048,maxLevel,1
1220048,attackCount,1
1220049,maxLevel,1
1220049,damR,20
1220051,maxLevel,1
1220051,coolTimeR,30
1220050,maxLevel,1
1220050,attackCount,2
1221052,maxLevel,1
1221052,mpCon,400
1221052,damage,500
1221052,mobCount,15
1221052,attackCount,6
1221052,time,10
1221052,cooltime,120
1221053,maxLevel,1
1221053,mpCon,100
1221053,time,60
1221053,cooltime,120
1221053,indieDamR,10
1221054,maxLevel,1
1221054,mpCon,600
1221054,time,30
1221054,cooltime,300
1221055,maxLevel,1
1221055,mpCon,600
1221055,time,30
1221055,cooltime,300
1301011,maxLevel,20
1301011,mpCon,17+d(x/6)
1301011,damage,161+2*x
1301011,attackCount,2
1301011,mobCount,8
1301011,cr,x
1301011,damR,u(x/2)
1301013,mpCon,20
1301013,x,24
1301013,hp,20
1301013,time,200
1301013,maxLevel,1
1301013,damage,100+12*x
1301012,mpCon,11+d(x/3)
1301012,damage,136+6*x
1301012,attackCount,2
1301012,mobCount,8
1301012,maxLevel,9
1301004,mpCon,31-2*x
1301004,time,20*x
1301004,x,-2
1301004,maxLevel,10
1301006,mpCon,12+6*u(x/5)
1301006,time,80+12*x
1301006,pdd,30*x
1301006,mdd,20*x
1301006,maxLevel,10
1301007,mpCon,20*u(x/7)
1301007,x,6*x
1301007,y,6*x
1301007,time,80+12*x
1301007,maxLevel,10
1300000,mastery,10+4*x
1300000,x,24*x
1300000,maxLevel,10
1300002,damage,60+x
1300002,prop,2*x
1300002,maxLevel,20
1300002,attackCount,2
1300009,maxLevel,5
1300009,strX,6*x
1300009,dexX,6*x
1311011,maxLevel,20
1311011,mpCon,5+d(x/7)
1311011,damage,131+x
1311011,y,540+10*x
1311011,mobCount,10
1311011,attackCount,1
1311011,x,120
1311011,time,8
1311012,mpCon,8+3*u(x/3)
1311012,damage,245+6*x
1311012,attackCount,1
1311012,mobCount,7+d(x/2)
1311012,maxLevel,10
1311014,damage,135+4*x
1311014,attackCount,6
1311014,mobCount,10
1311014,prop,9*u(x/2)
1311014,time,5
1311014,cooltime,12
1311014,maxLevel,20
1311014,hcTime,1
1311014,hcProp,u(x/4)
1311014,attackDelay,720
1311017,mpCon,20
1311017,damage,299+x
1311017,mobCount,5
1311017,maxLevel,1
1311017,y,1200
1311017,maxUseCountInOneJump,1
1311017,z,90
1311015,mpCon,10+d(x/2)
1311015,x,10+d(x/2)
1311015,y,1+u(x/3)
1311015,z,4000
1311015,time,80+6*x
1311015,maxLevel,20
1311015,pdR,2*x+10
1310013,maxLevel,10
1310013,damage,150+6*x
1310013,attackCount,1
1310013,mobCount,15
1310013,range,400
1310009,cr,10+2*x
1310009,criticaldamage,3+d(x/2)
1310009,prop,10*x
1310009,x,2
1310009,maxLevel,10
1310009,y,2
1310010,asrR,x+6
1310010,terR,x+6
1310010,maxLevel,14
1310016,x,24-4*d(x/4)
1310016,time,20+4*x
1310016,epad,2*x
1310016,epdd,25*x
1310016,emdd,25*x
1310016,acc,15*x
1310016,eva,15*x
1310016,indieCr,u(x/2)
1310016,maxLevel,20
1321013,maxLevel,30
1321013,mpCon,34+d(x/2)
1321013,damage,195+x
1321013,attackCount,12
1321013,mobCount,1
1321013,x,50+2*x
1321013,ignoreMobpdpR,x
1321013,cooltime,23-u(x/2)
1321014,mpCon,35-2*x
1321014,prop,20+8*x
1321014,time,6+4*u(x/3)
1321014,cooltime,60
1321014,mobCount,10
1321014,maxLevel,10
1321014,hcTime,1+2*u(x/5)
1321014,hcProp,6*x
1321012,maxLevel,30
1321012,mpCon,20+3*u(x/3)
1321012,attackCount,5+d(x/16)
1321012,mobCount,8
1321012,damage,160+4*x
1321012,z,0
1320017,maxLevel,30
1320017,stanceProp,2*x
1321015,mpCon,55+x
1321015,x,u(x/3)
1321015,y,10+3*x
1321015,time,15+d(x/2)
1321015,indieBDR,u(x/3)
1321015,ignoreMobpdpR,x
1321015,maxLevel,30
1321015,cooltime,70
1321015,t,0.35
1321000,mpCon,10+10*d(x/5)
1321000,x,u(x/2)
1321000,time,30*x
1321000,maxLevel,30
1321010,mpCon,30
1321010,cooltime,660-60*x
1321010,time,1
1321010,maxLevel,5
1320016,x,80-2*x
1320016,psdSpeed,5+u(x/2)
1320016,damage,x
1320016,cr,u(x/3)
1320016,z,30
1320016,time,10+x
1320016,cooltime,1110-7*x
1320016,maxLevel,30
1320016,criticaldamage,5+d(x/3)
1320016,y,300
1320018,maxLevel,30
1320018,mastery,55+u(x/2)
1320018,criticaldamage,5+d(x/3)
1320018,padX,x
1320011,prop,100
1320011,damage,550+12*x
1320011,cooltime,20-u(x/2)
1320011,x,5
1320011,y,5
1320011,maxLevel,30
1320011,z,0
1320011,damPlus,150+5*x
1320011,mobCount,1
1320011,attackCount,1
1320019,x,1
1320019,z,30
1320019,time,10+x
1320019,cooltime,1110-7*x
1320019,maxLevel,30
1320043,maxLevel,1
1320043,damR,150
1320044,maxLevel,1
1320044,x,30
1320045,maxLevel,1
1320045,x,10
1320046,maxLevel,1
1320046,damage,30
1320047,maxLevel,1
1320047,x,30
1320048,maxLevel,1
1320048,cr,20
1320049,maxLevel,1
1320049,damR,20
1320050,maxLevel,1
1320050,ignoreMobpdpR,20
1320051,maxLevel,1
1320051,bdR,10
1321052,maxLevel,1
1321052,mpCon,200
1321052,damage,330
1321052,attackCount,10
1321052,mobCount,10
1321052,cooltime,10
1321053,maxLevel,1
1321053,mpCon,100
1321053,time,60
1321053,cooltime,120
1321053,indieDamR,10
1321054,maxLevel,1
1321054,mpCon,300
1321054,indiePad,80
1321054,x,9
1321054,time,30
1321054,cooltime,120
2001008,maxLevel,20
2001008,mpCon,16+2*d(x/5)
2001008,damage,149+8*x
2001008,mobCount,4
2001008,range,450
2001002,maxLevel,10
2001002,mpCon,8+u(x/2)
2001002,x,15+7*x
2001009,maxLevel,5
2001009,mpCon,30-2*x
2001009,x,110+12*x
2001009,y,250+5*x
2000010,maxLevel,10
2000010,pddX,10*x
2000006,maxLevel,20
2000006,mmpR,x
2000006,lv2mmp,20+5*x
2000007,maxLevel,1
2000007,x,20
2000007,prop,15
2000007,time,5
2101004,maxLevel,20
2101004,mpCon,12+2*d(x/4)
2101004,damage,141+8*x
2101004,mobCount,6
2101004,range,420
2101004,attackCount,2
2100009,maxLevel,1
2100009,x,3
2100009,y,5
2100009,range,400
2101005,maxLevel,10
2101005,mpCon,11+3*d(x/4)
2101005,damage,130+5*x
2101005,mobCount,6
2101005,range,420
2101005,dot,30+3*x
2101005,dotInterval,1
2101005,dotTime,5+d(x/2)
2101005,prop,100
2101001,maxLevel,20
2101001,mpCon,10+d(x/3)
2101001,time,40+10*x
2101001,indieMad,10+x
2101008,maxLevel,10
2101008,mpCon,60-4*x
2101008,time,40+20*x
2101008,x,-2
2101010,maxLevel,10
2101010,damage,30+x
2101010,subTime,1500
2101010,prop,10+4*x
2101010,mobCount,8
2101010,areaDotCount,20
2101010,attackCount,3
2101010,x,4+d(x/4)
2100010,maxLevel,10
2100010,damage,30+x
2100010,subTime,1500
2100010,time,4+d(x/4)
2100010,prop,10+4*x
2100010,mobCount,8
2100010,areaDotCount,20
2100010,attackCount,3
2100006,maxLevel,10
2100006,mastery,10+4*x
2100006,x,x
2100007,intX,8*x
2100007,maxLevel,5
2100000,maxLevel,9
2100000,prop,2*x+2
2100000,x,x+1
2111002,maxLevel,20
2111002,mpCon,40+4*d(x/5)
2111002,damage,245+8*x
2111002,attackCount,2
2111002,mobCount,8
2111003,maxLevel,20
2111003,mpCon,30+5*d(x/4)
2111003,time,5+d(x/2)
2111003,damage,190+4*x
2111003,dot,120+6*x
2111003,dotInterval,1
2111003,dotTime,4+d(x/10)
2111010,maxLevel,10
2111010,mpCon,20+10*d(x/5)
2111010,dot,80+8*x
2111010,x,10
2111010,dotTime,10
2111010,dotInterval,1
2111010,time,40+2*x
2111010,cooltime,80-2*x
2111011,maxLevel,20
2111011,mpCon,20+5*u(x/7)
2111011,cooltime,600-18*x
2111011,prop,20+3*x
2111011,x,12-d(x/2)
2111011,y,5
2111011,asrR,x
2111011,terR,x
2111008,maxLevel,10
2111008,mpCon,10+4*x
2111008,time,100+14*x
2111008,x,x
2111008,mdR,4*x
2111007,maxLevel,10
2111007,prop,100
2111007,subProp,30+5*x
2111007,x,2*x
2111007,y,2*x
2111007,damage,192+8*x
2111007,time,2+d(x/5)
2111007,mobCount,6
2111007,hcSubProp,u(x/2)
2111007,hcTime,1
2111007,dot,68+3*x
2111007,dotInterval,2
2111007,dotTime,4
2110012,maxLevel,4
2110012,prop,x+6
2110012,x,1
2110012,w,10+10*x
2110012,z,20
2110001,maxLevel,10
2110001,costmpR,5*x
2110001,damR,5*x
2110009,maxLevel,10
2110009,cr,10+2*x
2110009,criticaldamage,3+x
2110000,maxLevel,10
2110000,x,50+5*x
2110000,z,2*x
2121006,maxLevel,30
2121006,mpCon,16+6*d(x/7)
2121006,damage,130+3*x
2121006,attackCount,7
2121006,x,0
2121006,dot,120+4*x
2121006,dotTime,5
2121006,dotInterval,1
2121006,time,5
2121006,mobCount,8
2121006,prop,100
2121006,hcTime,u(x/15)
2121006,hcProp,u(x/6)
2121003,maxLevel,30
2121003,mpCon,40+10*d(x/5)
2121003,damage,125+2*x
2121003,mobCount,12
2121003,attackCount,15
2121003,x,270+x
2121003,y,6
2121003,z,10
2121003,cooltime,10
2121003,ignoreMobpdpR,10+x
2121003,w,5
2121003,s,5
2121003,s2,2000
2120014,maxLevel,1
2120014,x,5
2121007,maxLevel,30
2121007,mpCon,360-x*2
2121007,mobCount,15
2121007,damage,320+5*x
2121007,cooltime,45
2121007,attackCount,8
2121007,prop,2*x
2121007,x,100+4*x
2121007,hcCooltime,60-2*d(x/2)
2121011,maxLevel,30
2121011,mpCon,25+3*u(x/2)
2121011,damage,264+8*x
2121011,prop,100
2121011,dot,110+3*x
2121011,dotTime,10
2121011,time,10
2121011,dotInterval,1
2121011,range,450
2121011,attackCount,6
2121011,x,-20-x
2121011,cooltime,20-d(x/3)
2121004,maxLevel,30
2121004,mpCon,40+5*u(x/4)
2121004,time,10+x
2121004,damage,3
2121004,x,1
2121004,y,u(x/3)
2121004,z,u(x/3)
2121004,cooltime,180
2121004,prop,40+x
2121004,hcHp,u(x/15)
2121004,w,0
2121004,q,40+x
2121005,maxLevel,30
2121005,mpCon,30+3*x
2121005,time,110+5*x
2121005,damage,270+6*x
2121005,mastery,55+u(x/2)
2121005,dot,50+3*x
2121005,dotInterval,1
2121005,dotTime,2
2121000,maxLevel,30
2121000,mpCon,10+10*d(x/5)
2121000,x,u(x/2)
2121000,time,30*x
2121008,maxLevel,5
2121008,mpCon,30
2121008,cooltime,660-60*x
2121008,time,1
2120010,maxLevel,30
2120010,prop,20+2*x
2120010,x,2+d(x/5)
2120010,y,5
